#MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-318.817688,137.1084442,-46.6232338,16.88216782,-20.83716202,-19.84877586,-43.68335342,-6.729001522,-13.59531307,-12.84568977,-17.48172379,-23.20187569,-8.422198296,-25.96718979,8.399488449,-16.58537865,-21.05186272,4.052219391,-18.20842743,-3.628541946,1546.324835,1615.149025,21.8161223,0.005722172,2993.115234,0.152076619,0.085865694,1
-319.7293701,137.8275146,-45.77794647,23.99243546,-16.67365265,-21.72136307,-41.39433289,-5.929378986,-19.79040527,-13.84015846,-18.51086044,-24.3614254,-6.94949913,-27.47282028,7.159860134,-13.41984367,-25.84208107,4.244904995,-18.17959404,-5.231658459,1524.334724,1580.536681,21.81161324,0.004123687,2956.582122,0.1413567,0.07943565,1
-336.3702698,140.460556,-46.15041351,15.68814087,-13.72706413,-20.76786613,-41.97562408,-6.878992558,-17.00113106,-15.64428902,-15.82773495,-19.8042469,-8.378091812,-25.15712738,7.872416496,-17.02847099,-21.30104637,4.035695076,-17.93947792,-4.574661255,1515.94837,1563.657861,21.5907156,0.008259115,2930.615612,0.127297287,0.079908814,1
-327.7006226,144.9903259,-48.33093643,19.73186493,-17.44898033,-20.40737915,-41.73083115,-7.789000511,-19.41809654,-10.81830788,-15.84720612,-24.65869331,-8.893651009,-26.97374153,5.477081776,-13.36128902,-26.16015053,3.24104023,-14.64413261,-7.566569328,1480.390089,1499.994341,21.7527605,0.005388875,2814.532981,0.122831398,0.077549796,1
-330.9443359,140.6039276,-48.81177902,21.685812,-10.44038105,-20.81824875,-41.29399872,-8.474933624,-18.3147583,-13.2725172,-20.9186573,-20.25432968,-7.950688362,-27.44438171,10.48667717,-15.44181728,-25.04396057,4.136606693,-17.76380157,-5.135964394,1511.546715,1563.727922,21.72551694,0.006516436,2931.582273,0.140484384,0.078560372,1
-340.9817505,141.9373322,-45.14878082,14.65416431,-14.45854282,-19.49235344,-40.21934128,-6.703027725,-18.97986031,-12.78805256,-13.8394022,-21.45980453,-9.032407761,-26.02836609,8.430140495,-15.26975346,-25.2692585,2.805871248,-18.1604557,-5.621433735,1515.333442,1553.270898,21.43999154,0.007343847,2916.582364,0.14871255,0.080034286,1
-340.9127808,150.7300415,-53.44961929,15.98532581,-16.7919445,-20.77747726,-39.0452919,-4.453299046,-20.77153587,-13.40990257,-16.3808403,-23.00377655,-7.167760849,-25.88973236,8.058259964,-17.23052979,-21.70005226,3.773896694,-19.99858284,-2.743522644,1500.370975,1557.04297,21.40009627,0.006559578,2954.465468,0.142369407,0.081471163,1
-350.2496643,142.0385895,-46.8695755,13.21923828,-17.22590065,-22.42031097,-35.77634048,-6.059591293,-18.52717209,-9.753977776,-14.72808647,-20.78278542,-7.753159523,-26.19572067,7.972081184,-17.09051704,-22.63357735,3.797670841,-18.97062111,-3.47111249,1524.901382,1549.408282,21.55002538,0.008502605,2932.6156,0.133573967,0.081394066,1
-347.4522705,149.0169525,-47.36112976,20.22127724,-13.72410107,-23.79689026,-40.41194153,-8.599323273,-16.69371223,-11.8201828,-16.18391418,-22.96151733,-9.103163719,-27.45710373,8.405260086,-13.86507702,-26.7813549,3.458097458,-18.43484688,-4.604367733,1467.714608,1493.424819,21.82983433,0.00682574,2826.416242,0.125994203,0.075184731,1
-319.8731995,148.8886719,-47.54548264,21.66572571,-20.10214806,-22.66561699,-45.75331879,-6.828407764,-16.89194107,-9.417793274,-17.86368561,-25.37385178,-8.271810532,-27.14413834,11.27464199,-15.87307072,-24.45148087,3.209566355,-20.64456367,-4.405767918,1474.907409,1514.375977,22.07192134,0.004888461,2759.983311,0.165511582,0.081310166,1
